id,area,task,status,notes
1,planning,"[x] Update work/criteria.md for faster-whisper Standard ASR integration",done,""
2,planning,"[x] Update work/plan.md and complete criteria review section",done,""
3,discovery,"[x] Review Standard ASR docs/specs for entrypoints + compliance",done,""
4,impl,"[x] Add Standard ASR adapter module in faster-whisper (config/options/properties + lazy load)",done,"faster_whisper/standard_asr.py"
5,impl,"[x] Add Standard ASR entry points + optional extra in faster-whisper packaging",done,"faster-whisper/setup.py"
6,impl,"[x] Add lazy import hook for StandardWhisperModel in faster_whisper/__init__.py",done,""
7,docs,"[x] Document Standard ASR usage + proof steps in faster-whisper README",done,""
8,tests,"[x] Add Standard ASR adapter/unit tests with stubbed model (no downloads)",done,"faster-whisper/tests/test_standard_asr.py"
9,qa,"[x] Self code review for faster-whisper Standard ASR changes",done,"reviewed adapter, entrypoints, README, tests"
10,qa,"[x] Run faster-whisper tests/lint (pytest, flake8/isort/black if applicable)",done,"pytest + black + isort + flake8 run via standard_asr_user .venv"
11,qa,"[x] Run standard_asr tests/lint/type check (ruff/pyright/pytest)",done,"ruff format/check, pyright, pytest (100% coverage)"
12,validation,"[x] Initialize uv project in standard_asr_user and add local deps",done,"standard_asr_user/pyproject.toml + .venv"
13,validation,"[x] Run standard-asr compliance entrypoints and record output",done,"standard_asr_user/README.md"
14,validation,"[x] Transcribe standard_asr_user/harvard.wav via faster-whisper/distil-small.en; record transcript and expected match",done,"standard_asr_user/README.md"
15,docs,"[x] Capture any Standard ASR improvement ideas in work/standard_asr_improvements.md",done,"standard_asr/work/standard_asr_improvements.md"
16,qa,"[x] Final criteria review + mark todo complete",done,"work/criteria.md updated"
17,qa,"[x] Fix py.typed placement so pyright strict can resolve standard_asr types",done,"moved to standard_asr/src/standard_asr/py.typed"
